,Vid_nr,Subtlety,Color,StartPos,Motivator,Vid_names,Iter_nr,ID
47,47,30,Gr,R,Chase,chase_pred_subt30_Grey_Posx_850_var1.webm,v2,30_Gr_R_Chase_v2
48,48,60,Gr,L,Chase,chase_pred_subt60_Grey_Posx_350.webm,v0,60_Gr_L_Chase_v0
49,49,60,Gr,L,Chase,chase_pred_subt60_Grey_Posx_350_var0.webm,v1,60_Gr_L_Chase_v1
50,50,60,Gr,L,Chase,chase_pred_subt60_Grey_Posx_350_var1.webm,v2,60_Gr_L_Chase_v2
51,51,60,Gr,R,Chase,chase_pred_subt60_Grey_Posx_850.webm,v0,60_Gr_R_Chase_v0
52,52,60,Gr,R,Chase,chase_pred_subt60_Grey_Posx_850_var0.webm,v1,60_Gr_R_Chase_v1
53,53,60,Gr,R,Chase,chase_pred_subt60_Grey_Posx_850_var1.webm,v2,60_Gr_R_Chase_v2
54,54,90,Gr,L,Chase,chase_pred_subt90_Grey_Posx_350.webm,v0,90_Gr_L_Chase_v0
55,55,90,Gr,L,Chase,chase_pred_subt90_Grey_Posx_350_var0.webm,v1,90_Gr_L_Chase_v1
56,56,90,Gr,L,Chase,chase_pred_subt90_Grey_Posx_350_var1.webm,v2,90_Gr_L_Chase_v2
57,57,90,Gr,R,Chase,chase_pred_subt90_Grey_Posx_850.webm,v0,90_Gr_R_Chase_v0
58,58,90,Gr,R,Chase,chase_pred_subt90_Grey_Posx_850_var0.webm,v1,90_Gr_R_Chase_v1
59,59,90,Gr,R,Chase,chase_pred_subt90_Grey_Posx_850_var1.webm,v2,90_Gr_R_Chase_v2
60,60,120,Gr,L,Chase,chase_pred_subt120_Grey_Posx_350.webm,v0,120_Gr_L_Chase_v0
61,61,120,Gr,L,Chase,chase_pred_subt120_Grey_Posx_350_var0.webm,v1,120_Gr_L_Chase_v1
62,62,120,Gr,L,Chase,chase_pred_subt120_Grey_Posx_350_var1.webm,v2,120_Gr_L_Chase_v2
63,63,120,Gr,R,Chase,chase_pred_subt120_Grey_Posx_850.webm,v0,120_Gr_R_Chase_v0
64,64,120,Gr,R,Chase,chase_pred_subt120_Grey_Posx_850_var0.webm,v1,120_Gr_R_Chase_v1
65,65,120,Gr,R,Chase,chase_pred_subt120_Grey_Posx_850_var1.webm,v2,120_Gr_R_Chase_v2
66,66,150,Gr,L,Chase,chase_pred_subt150_Grey_Posx_350.webm,v0,150_Gr_L_Chase_v0
67,67,150,Gr,L,Chase,chase_pred_subt150_Grey_Posx_350_var0.webm,v1,150_Gr_L_Chase_v1
68,68,150,Gr,L,Chase,chase_pred_subt150_Grey_Posx_350_var1.webm,v2,150_Gr_L_Chase_v2
69,69,150,Gr,R,Chase,chase_pred_subt150_Grey_Posx_850.webm,v0,150_Gr_R_Chase_v0
70,70,150,Gr,R,Chase,chase_pred_subt150_Grey_Posx_850_var0.webm,v1,150_Gr_R_Chase_v1
71,71,150,Gr,R,Chase,chase_pred_subt150_Grey_Posx_850_var1.webm,v2,150_Gr_R_Chase_v2
72,72,0,Bl,L,Mimic,mimic_flipped_pred_subt0_Black_Posx_350_InvisPreyLocInd_1.webm,v0,0_Bl_L_Mimic_v0
73,73,0,Bl,L,Mimic,mimic_flipped_pred_subt0_Black_Posx_350_InvisPreyLocInd_2ed.webm,v1,0_Bl_L_Mimic_v1
74,74,0,Bl,L,Mimic,mimic_flipped_pred_subt0_Black_Posx_350_InvisPreyLocInd_3ed.webm,v2,0_Bl_L_Mimic_v2
75,75,0,Bl,R,Mimic,mimic_flipped_pred_subt0_Black_Posx_850_InvisPreyLocInd_4.webm,v0,0_Bl_R_Mimic_v0
76,76,0,Bl,R,Mimic,mimic_flipped_pred_subt0_Black_Posx_850_InvisPreyLocInd_5.webm,v1,0_Bl_R_Mimic_v1
77,77,0,Bl,R,Mimic,mimic_flipped_pred_subt0_Black_Posx_850_InvisPreyLocInd_6.webm,v2,0_Bl_R_Mimic_v2
